Setup title,TFT Id-Vd-Tian,,,,,,,,,,,,,,
Application test name,TFT Id-Vd-Tian,,,,,,,,,,,,,,
Test date,3/22/2018,,,,,,,,,,,,,,
Test time,10:14:58,,,,,,,,,,,,,,
Device ID,gr-ots-vfet,,,,,,,,,,,,,,
Count,12,,,,,,,,,,,,,,
Flags,!,,,,,,,,,,,,,,
Remarks,idvd-2-neg,,,,,,,,,,,,,,
Name,Gate,Source,Drain,VgStart,,,,VdStop,VdStep,Vs,IgLimit,IntegTime,HoldTime,DelayTime,DrainMinRng
-2.7,-0.000105417,0,6.94E-05,14404.03313,,,,,,,,,,,
-2.68,-0.000104033,0,7.09E-05,14109.34744,,,,,,,,,,,
-2.66,-0.000102582,0,7.15E-05,13990.90591,,,,,,,,,,,
-2.64,-0.000101174,0,7.09E-05,14103.37776,,,,,,,,,,,
-2.62,-9.97E-05,0,7.11E-05,14055.80153,,,,,,,,,,,
-2.6,-9.83E-05,0,7.10E-05,14091.45353,,,,,,,,,,,
-2.58,-9.69E-05,0,6.98E-05,14330.7538,,,,,,,,,,,
-2.56,-9.55E-05,0,6.91E-05,14466.02293,,,,,,,,,,,
-2.54,-9.41E-05,0,7.04E-05,14205.0499,,,,,,,,,,,
-2.52,-9.27E-05,0,7.02E-05,14245.52156,,,,,,,,,,,
-2.5,-9.13E-05,0,6.96E-05,14366.784,,,,,,,,,,,
-2.48,-8.99E-05,0,7.04E-05,14201.01537,,,,,,,,,,,
-2.46,-8.85E-05,0,7.03E-05,14217.16723,,,,,,,,,,,
-2.44,-8.71E-05,0,6.98E-05,14327.16071,,,,,,,,,,,
-2.42,-8.57E-05,0,6.92E-05,14457.65714,,,,,,,,,,,
-2.4,-8.44E-05,0,6.88E-05,14533.82748,,,,,,,,,,,
-2.38,-8.30E-05,0,6.89E-05,14523.80088,,,,,,,,,,,
-2.36,-8.16E-05,0,6.86E-05,14567.17288,,,,,,,,,,,
-2.34,-8.02E-05,0,6.80E-05,14706.42303,,,,,,,,,,,
-2.32,-7.89E-05,0,6.84E-05,14628.97268,,,,,,,,,,,
-2.3,-7.75E-05,0,6.79E-05,14733.50768,,,,,,,,,,,
-2.28,-7.62E-05,0,6.76E-05,14793.4465,,,,,,,,,,,
-2.26,-7.48E-05,0,6.85E-05,14598.54015,,,,,,,,,,,
-2.24,-7.34E-05,0,6.72E-05,14878.73828,,,,,,,,,,,
-2.22,-7.21E-05,0,6.64E-05,15050.04139,,,,,,,,,,,
-2.2,-7.08E-05,0,6.67E-05,14994.18975,,,,,,,,,,,
-2.18,-6.94E-05,0,6.70E-05,14922.03238,,,,,,,,,,,
-2.16,-6.81E-05,0,6.61E-05,15128.02088,,,,,,,,,,,
-2.14,-6.68E-05,0,6.47E-05,15446.99749,,,,,,,,,,,
-2.12,-6.55E-05,0,6.46E-05,15475.68383,,,,,,,,,,,
-2.1,-6.42E-05,0,6.53E-05,15309.24679,,,,,,,,,,,
-2.08,-6.29E-05,0,6.50E-05,15388.75851,,,,,,,,,,,
-2.06,-6.16E-05,0,6.41E-05,15601.84102,,,,,,,,,,,
-2.04,-6.03E-05,0,6.36E-05,15721.4165,,,,,,,,,,,
-2.02,-5.91E-05,0,6.35E-05,15744.31237,,,,,,,,,,,
-2,-5.78E-05,0,6.34E-05,15765.41069,,,,,,,,,,,
-1.98,-5.65E-05,0,6.24E-05,16023.07323,,,,,,,,,,,
-1.96,-5.53E-05,0,6.25E-05,16004.48125,,,,,,,,,,,
-1.94,-5.40E-05,0,6.19E-05,16143.35297,,,,,,,,,,,
-1.92,-5.28E-05,0,6.13E-05,16312.54843,,,,,,,,,,,
-1.9,-5.16E-05,0,6.12E-05,16328.53002,,,,,,,,,,,
-1.88,-5.04E-05,0,6.07E-05,16471.75095,,,,,,,,,,,
-1.86,-4.91E-05,0,6.01E-05,16632.70822,,,,,,,,,,,
-1.84,-4.80E-05,0,5.99E-05,16692.40078,,,,,,,,,,,
-1.82,-4.67E-05,0,5.92E-05,16889.03901,,,,,,,,,,,
-1.8,-4.56E-05,0,5.80E-05,17254.76663,,,,,,,,,,,
-1.78,-4.44E-05,0,5.84E-05,17134.29,,,,,,,,,,,
-1.76,-4.33E-05,0,5.82E-05,17179.91668,,,,,,,,,,,
-1.74,-4.21E-05,0,5.71E-05,17506.2366,,,,,,,,,,,
-1.72,-4.10E-05,0,5.63E-05,17765.93382,,,,,,,,,,,
-1.7,-3.98E-05,0,5.60E-05,17852.36097,,,,,,,,,,,
-1.68,-3.87E-05,0,5.57E-05,17952.5156,,,,,,,,,,,
-1.66,-3.76E-05,0,5.49E-05,18204.98817,,,,,,,,,,,
-1.64,-3.65E-05,0,5.45E-05,18356.2021,,,,,,,,,,,
-1.62,-3.54E-05,0,5.38E-05,18598.59581,,,,,,,,,,,
-1.6,-3.44E-05,0,5.30E-05,18854.58402,,,,,,,,,,,
-1.58,-3.33E-05,0,5.31E-05,18823.52941,,,,,,,,,,,
-1.56,-3.23E-05,0,5.22E-05,19168.10427,,,,,,,,,,,
-1.54,-3.12E-05,0,5.15E-05,19414.64835,,,,,,,,,,,
-1.52,-3.02E-05,0,5.11E-05,19564.68574,,,,,,,,,,,
-1.5,-2.92E-05,0,4.96E-05,20149.10336,,,,,,,,,,,
-1.48,-2.82E-05,0,4.93E-05,20285.00431,,,,,,,,,,,
-1.46,-2.72E-05,0,4.88E-05,20503.35742,,,,,,,,,,,
-1.44,-2.63E-05,0,4.80E-05,20855.05735,,,,,,,,,,,
-1.42,-2.53E-05,0,4.76E-05,20995.17111,,,,,,,,,,,
-1.4,-2.44E-05,0,4.69E-05,21304.92676,,,,,,,,,,,
-1.38,-2.34E-05,0,4.58E-05,21830.48627,,,,,,,,,,,
-1.36,-2.25E-05,0,4.51E-05,22161.89263,,,,,,,,,,,
-1.34,-2.16E-05,0,4.47E-05,22351.36343,,,,,,,,,,,
-1.32,-2.07E-05,0,4.38E-05,22824.53638,,,,,,,,,,,
-1.3,-1.99E-05,0,4.29E-05,23319.53594,,,,,,,,,,,
-1.28,-1.90E-05,0,4.23E-05,23630.88557,,,,,,,,,,,
-1.26,-1.82E-05,0,4.12E-05,24274.79063,,,,,,,,,,,
-1.24,-1.74E-05,0,4.03E-05,24830.8399,,,,,,,,,,,
-1.22,-1.66E-05,0,3.96E-05,25230.22581,,,,,,,,,,,
-1.2,-1.58E-05,0,3.88E-05,25781.50177,,,,,,,,,,,
-1.18,-1.50E-05,0,3.80E-05,26295.03024,,,,,,,,,,,
-1.16,-1.43E-05,0,3.68E-05,27151.77844,,,,,,,,,,,
-1.14,-1.35E-05,0,3.60E-05,27799.01314,,,,,,,,,,,
-1.12,-1.28E-05,0,3.54E-05,28260.56239,,,,,,,,,,,
-1.1,-1.21E-05,0,3.42E-05,29261.15582,,,,,,,,,,,
-1.08,-1.15E-05,0,3.33E-05,30072.92685,,,,,,,,,,,
-1.06,-1.08E-05,0,3.26E-05,30698.38833,,,,,,,,,,,
-1.04,-1.02E-05,0,3.15E-05,31788.66893,,,,,,,,,,,
-1.02,-9.53E-06,0,3.05E-05,32782.31722,,,,,,,,,,,
-1,-8.93E-06,0,2.96E-05,33765.53214,,,,,,,,,,,
-0.98,-8.35E-06,0,2.85E-05,35128.70278,,,,,,,,,,,
-0.96,-7.79E-06,0,2.74E-05,36432.19513,,,,,,,,,,,
-0.94,-7.25E-06,0,2.65E-05,37759.3596,,,,,,,,,,,
-0.92,-6.73E-06,0,2.52E-05,39610.23528,,,,,,,,,,,
-0.9,-6.24E-06,0,2.42E-05,41307.37853,,,,,,,,,,,
-0.88,-5.76E-06,0,2.32E-05,43101.12602,,,,,,,,,,,
-0.86,-5.31E-06,0,2.22E-05,45095.82864,,,,,,,,,,,
-0.84,-4.88E-06,0,2.12E-05,47096.50073,,,,,,,,,,,
-0.82,-4.46E-06,0,2.01E-05,49795.83707,,,,,,,,,,,
-0.8,-4.07E-06,0,1.90E-05,52586.60356,,,,,,,,,,,
-0.78,-3.70E-06,0,1.81E-05,55337.28073,,,,,,,,,,,
-0.76,-3.35E-06,0,1.70E-05,58784.62782,,,,,,,,,,,
-0.74,-3.02E-06,0,1.58E-05,63183.168,,,,,,,,,,,
-0.72,-2.72E-06,0,1.48E-05,67533.34459,,,,,,,,,,,
-0.7,-2.43E-06,0,1.39E-05,71842.95131,,,,,,,,,,,
-0.68,-2.16E-06,0,1.29E-05,77462.33394,,,,,,,,,,,
-0.66,-1.91E-06,0,1.19E-05,84357.9307,,,,,,,,,,,
-0.64,-1.69E-06,0,1.09E-05,91915.98879,,,,,,,,,,,
-0.62,-1.48E-06,0,1.00E-05,99785.46126,,,,,,,,,,,
-0.6,-1.29E-06,0,9.17E-06,109080.9926,,,,,,,,,,,
-0.58,-1.11E-06,0,8.29E-06,120692.4124,,,,,,,,,,,
-0.56,-9.55E-07,0,7.42E-06,134830.8547,,,,,,,,,,,
-0.54,-8.14E-07,0,6.64E-06,150713.0612,,,,,,,,,,,
-0.52,-6.89E-07,0,5.89E-06,169867.2487,,,,,,,,,,,
-0.5,-5.79E-07,0,5.16E-06,193625.8374,,,,,,,,,,,
-0.48,-4.83E-07,0,4.52E-06,221190.0022,,,,,,,,,,,
-0.46,-3.98E-07,0,3.93E-06,254194.2044,,,,,,,,,,,
-0.44,-3.25E-07,0,3.38E-06,295715.8171,,,,,,,,,,,
-0.42,-2.63E-07,0,2.87E-06,348553.503,,,,,,,,,,,
-0.4,-2.10E-07,0,2.41E-06,414937.7593,,,,,,,,,,,
-0.38,-1.66E-07,0,2.01E-06,497314.5017,,,,,,,,,,,
-0.36,-1.30E-07,0,1.66E-06,601368.1125,,,,,,,,,,,
-0.34,-1.00E-07,0,1.36E-06,736363.469,,,,,,,,,,,
-0.32,-7.57E-08,0,1.08E-06,925390.3991,,,,,,,,,,,
-0.3,-5.68E-08,0,8.51E-07,1174501.571,,,,,,,,,,,
-0.28,-4.16E-08,0,6.65E-07,1504324.934,,,,,,,,,,,
-0.26,-3.02E-08,0,5.05E-07,1980001.98,,,,,,,,,,,
-0.24,-2.14E-08,0,3.83E-07,2612330.199,,,,,,,,,,,
-0.22,-1.49E-08,0,2.80E-07,3577817.531,,,,,,,,,,,
-0.2,-1.02E-08,0,1.96E-07,5089706.069,,,,,,,,,,,
-0.18,-7.00E-09,0,1.42E-07,7021239.249,,,,,,,,,,,
-0.16,-4.55E-09,0,1.01E-07,9920634.921,,,,,,,,,,,
-0.14,-2.97E-09,0,6.78E-08,14754703.06,,,,,,,,,,,
-0.12,-1.84E-09,0,4.51E-08,22160664.82,,,,,,,,,,,
-0.1,-1.16E-09,0,2.68E-08,37278657.97,,,,,,,,,,,
-0.08,-7.67E-10,0,1.70E-08,58997050.15,,,,,,,,,,,
-0.06,-4.83E-10,0,1.21E-08,82987551.87,,,,,,,,,,,
-0.04,-2.85E-10,0,9.28E-09,107816711.6,,,,,,,,,,,
-0.02,-1.12E-10,0,6.35E-09,157480315,,,,,,,,,,,
0,-3.10E-11,0,3.33E-09,300751879.7,,,,,,,,,,,
0.02,2.10E-11,0,4.75E-10,2105263158,,,,,,,,,,,
0.04,-1.20E-11,0,-7.50E-11,-13333333333,,,,,,,,,,,
0.06,1.80E-11,0,1.45E-09,689655172.4,,,,,,,,,,,
0.08,4.60E-11,0,1.43E-09,701754386,,,,,,,,,,,
0.1,7.50E-11,0,-6.50E-10,-1538461538,,,,,,,,,,,
0.12,2.00E-11,0,-1.28E-09,-784313725.5,,,,,,,,,,,
0.14,2.40E-11,0,2.28E-09,439560439.6,,,,,,,,,,,
0.16,1.11E-10,0,2.60E-09,384615384.6,,,,,,,,,,,
0.18,1.28E-10,0,2.25E-10,4444444444,,,,,,,,,,,
0.2,1.20E-10,0,6.13E-09,163265306.1,,,,,,,,,,,
0.22,3.73E-10,0,6.28E-09,159362549.8,,,,,,,,,,,
0.24,3.71E-10,0,-1.28E-09,-784313725.5,,,,,,,,,,,
0.26,3.22E-10,0,-1.00E-10,-10000000000,,,,,,,,,,,
0.28,3.67E-10,0,1.35E-09,740740740.7,,,,,,,,,,,
0.3,3.76E-10,0,-1.20E-09,-833333333.3,,,,,,,,,,,
0.32,3.19E-10,0,1.80E-09,555555555.6,,,,,,,,,,,
0.34,4.48E-10,0,6.23E-09,160642570.3,,,,,,,,,,,
0.36,5.68E-10,0,4.48E-09,223463687.2,,,,,,,,,,,
0.38,6.27E-10,0,3.75E-10,2666666667,,,,,,,,,,,
0.4,5.83E-10,0,1.08E-09,930232558.1,,,,,,,,,,,
0.42,6.70E-10,0,2.43E-09,412371134,,,,,,,,,,,
0.44,6.80E-10,0,6.75E-10,1481481481,,,,,,,,,,,
0.46,6.97E-10,0,1.33E-09,754716981.1,,,,,,,,,,,
0.48,7.33E-10,0,1.65E-09,606060606.1,,,,,,,,,,,
0.5,7.63E-10,0,0,,,,,,,,,,,,
0.52,7.33E-10,0,-1.73E-09,-579710144.9,,,,,,,,,,,
0.54,6.94E-10,0,1.50E-10,6666666667,,,,,,,,,,,
0.56,7.39E-10,0,1.80E-09,555555555.6,,,,,,,,,,,
0.58,7.66E-10,0,2.13E-09,470588235.3,,,,,,,,,,,
0.6,8.24E-10,0,6.88E-09,145454545.5,,,,,,,,,,,
0.62,1.04E-09,0,7.22E-09,138408304.5,,,,,,,,,,,
0.64,1.11E-09,0,3.83E-09,261437908.5,,,,,,,,,,,
0.66,1.19E-09,0,-2.50E-10,-4000000000,,,,,,,,,,,
0.68,1.10E-09,0,3.75E-10,2666666667,,,,,,,,,,,
0.7,1.21E-09,0,5.55E-09,180180180.2,,,,,,,,,,,
0.72,1.33E-09,0,7.60E-09,131578947.4,,,,,,,,,,,
0.74,1.51E-09,0,9.17E-09,108991825.6,,,,,,,,,,,
0.76,1.69E-09,0,2.00E-09,500000000,,,,,,,,,,,
0.78,1.59E-09,0,1.20E-09,833333333.3,,,,,,,,,,,
0.8,1.74E-09,0,6.25E-09,160000000,,,,,,,,,,,
0.82,1.84E-09,0,7.43E-09,134680134.7,,,,,,,,,,,
0.84,2.04E-09,0,7.45E-09,134228187.9,,,,,,,,,,,
0.86,2.14E-09,0,5.23E-09,191387559.8,,,,,,,,,,,
0.88,2.25E-09,0,2.58E-09,388349514.6,,,,,,,,,,,
0.9,2.24E-09,0,6.43E-09,155642023.3,,,,,,,,,,,
0.92,2.50E-09,0,6.92E-09,144404332.1,,,,,,,,,,,
0.94,2.52E-09,0,7.23E-09,138408304.5,,,,,,,,,,,
0.96,2.79E-09,0,1.05E-08,95011876.48,,,,,,,,,,,
0.98,2.94E-09,0,7.75E-09,129032258.1,,,,,,,,,,,
1,3.10E-09,0,6.82E-09,146520146.5,,,,,,,,,,,
1.02,3.22E-09,0,6.93E-09,144404332.1,,,,,,,,,,,
1.04,3.38E-09,0,7.43E-09,134680134.7,,,,,,,,,,,
1.06,3.51E-09,0,1.35E-08,74211502.78,,,,,,,,,,,
1.08,3.92E-09,0,8.60E-09,116279069.8,,,,,,,,,,,
1.1,3.86E-09,0,1.51E-08,66225165.56,,,,,,,,,,,
1.12,4.52E-09,0,1.58E-08,63191153.24,,,,,,,,,,,
1.14,4.49E-09,0,4.45E-09,224719101.1,,,,,,,,,,,
1.16,4.70E-09,0,1.25E-09,800000000,,,,,,,,,,,
1.18,4.54E-09,0,-1.45E-09,-689655172.4,,,,,,,,,,,
1.2,4.64E-09,0,1.19E-08,84210526.32,,,,,,,,,,,
1.22,5.01E-09,0,1.04E-08,96618357.49,,,,,,,,,,,
1.24,5.06E-09,0,1.72E-08,58224163.03,,,,,,,,,,,
1.26,5.70E-09,0,2.82E-08,35492457.85,,,,,,,,,,,
1.28,6.18E-09,0,1.74E-08,57388809.18,,,,,,,,,,,
1.3,6.40E-09,0,2.18E-08,45819014.89,,,,,,,,,,,
1.32,7.06E-09,0,3.08E-08,32520325.2,,,,,,,,,,,
1.34,7.63E-09,0,2.06E-08,48484848.48,,,,,,,,,,,
1.36,7.88E-09,0,1.20E-08,83160083.16,,,,,,,,,,,
1.38,8.11E-09,0,6.98E-09,143369175.6,,,,,,,,,,,
1.4,8.16E-09,0,1.27E-08,78895463.51,,,,,,,,,,,
1.42,8.62E-09,0,2.40E-08,41753653.44,,,,,,,,,,,
1.44,9.12E-09,0,5.05E-08,19821605.55,,,,,,,,,,,
1.46,1.06E-08,0,5.22E-08,19157088.12,,,,,,,,,,,
1.48,1.12E-08,0,3.06E-08,32653061.22,,,,,,,,,,,
1.5,1.19E-08,0,2.71E-08,36968576.71,,,,,,,,,,,
1.52,1.23E-08,0,2.30E-08,43525571.27,,,,,,,,,,,
1.54,1.28E-08,0,7.12E-09,140350877.2,,,,,,,,,,,
1.56,1.26E-08,0,3.22E-08,31055900.62,,,,,,,,,,,
1.58,1.41E-08,0,3.74E-08,26720106.88,,,,,,,,,,,
1.6,1.41E-08,0,-1.03E-08,-97323600.97,,,,,,,,,,,
1.62,1.37E-08,0,1.97E-08,50825921.22,,,,,,,,,,,
1.64,1.49E-08,0,7.33E-08,13633265.17,,,,,,,,,,,
1.66,1.66E-08,0,4.56E-08,21929824.56,,,,,,,,,,,
1.68,1.67E-08,0,1.25E-08,79840319.36,,,,,,,,,,,
1.7,1.71E-08,0,2.55E-08,39177277.18,,,,,,,,,,,
1.72,1.77E-08,0,4.20E-08,23823704.59,,,,,,,,,,,
1.74,1.88E-08,0,3.17E-08,31595576.62,,,,,,,,,,,
1.76,1.90E-08,0,3.55E-08,28208744.71,,,,,,,,,,,
1.78,2.02E-08,0,5.94E-08,16835016.84,,,,,,,,,,,
1.8,2.13E-08,0,4.03E-08,24829298.57,,,,,,,,,,,
1.82,2.18E-08,0,6.56E-08,15232292.46,,,,,,,,,,,
1.84,2.40E-08,0,6.47E-08,15444015.44,,,,,,,,,,,
1.86,2.44E-08,0,2.57E-08,38910505.84,,,,,,,,,,,
1.88,2.50E-08,0,3.14E-08,31872509.96,,,,,,,,,,,
1.9,2.56E-08,0,4.19E-08,23880597.01,,,,,,,,,,,
1.92,2.67E-08,0,1.12E-07,8944543.828,,,,,,,,,,,
1.94,3.01E-08,0,1.40E-07,7125044.532,,,,,,,,,,,
1.96,3.23E-08,0,8.07E-08,12383900.93,,,,,,,,,,,
1.98,3.33E-08,0,4.15E-08,24081878.39,,,,,,,,,,,
2,3.39E-08,0,6.36E-08,15723270.44,,,,,,,,,,,
2.02,3.59E-08,0,7.39E-08,13536379.02,,,,,,,,,,,
2.04,3.69E-08,0,9.36E-08,10680907.88,,,,,,,,,,,
2.06,3.96E-08,0,1.04E-07,9592326.139,,,,,,,,,,,
2.08,4.11E-08,0,1.08E-07,9302325.581,,,,,,,,,,,
2.1,4.39E-08,0,1.47E-07,6818956.7,,,,,,,,,,,
2.12,4.69E-08,0,8.65E-08,11557353.37,,,,,,,,,,,
2.14,4.74E-08,0,4.73E-08,21152829.19,,,,,,,,,,,
2.16,4.88E-08,0,1.43E-07,6969855.376,,,,,,,,,,,
2.18,5.31E-08,0,1.37E-07,7313951.362,,,,,,,,,,,
2.2,5.43E-08,0,1.08E-07,9300162.753,,,,,,,,,,,
2.22,5.74E-08,0,1.43E-07,6971070.059,,,,,,,,,,,
2.24,6.00E-08,0,1.22E-07,8184980.561,,,,,,,,,,,
2.26,6.23E-08,0,1.27E-07,7858546.169,,,,,,,,,,,
2.28,6.51E-08,0,1.23E-07,8098805.426,,,,,,,,,,,
2.3,6.73E-08,0,3.83E-08,26126714.57,,,,,,,,,,,
2.32,6.67E-08,0,1.64E-07,6104074.47,,,,,,,,,,,
2.34,7.38E-08,0,2.40E-07,4165798.792,,,,,,,,,,,
2.36,7.63E-08,0,1.44E-07,6952894.142,,,,,,,,,,,
2.38,7.96E-08,0,1.72E-07,5813953.488,,,,,,,,,,,
2.4,8.31E-08,0,1.69E-07,5900575.306,,,,,,,,,,,
2.42,8.63E-08,0,1.91E-07,5242463.958,,,,,,,,,,,
2.44,9.08E-08,0,1.92E-07,5211726.384,,,,,,,,,,,
2.46,9.40E-08,0,1.91E-07,5222613.918,,,,,,,,,,,
2.48,9.84E-08,0,1.82E-07,5485463.522,,,,,,,,,,,
2.5,1.01E-07,0,1.56E-07,6417455.479,,,,,,,,,,,
2.52,1.05E-07,0,1.91E-07,5232177.894,,,,,,,,,,,
2.54,1.09E-07,0,1.76E-07,5673758.865,,,,,,,,,,,
2.56,1.12E-07,0,1.53E-07,6535947.712,,,,,,,,,,,
2.58,1.15E-07,0,2.24E-07,4470272.687,,,,,,,,,,,
2.6,1.21E-07,0,2.25E-07,4447409.384,,,,,,,,,,,
2.62,1.24E-07,0,2.90E-07,3445899.38,,,,,,,,,,,
2.64,1.32E-07,0,2.59E-07,3857280.617,,,,,,,,,,,
2.66,1.34E-07,0,1.88E-07,5331200.853,,,,,,,,,,,
2.68,1.40E-07,0,2.47E-07,4046125.835,,,,,,,,,,,
2.7,1.44E-07,0,2.31E-07,4335103.501,,,,,,,,,,,
2.72,1.49E-07,0,3.09E-07,3238079.819,,,,,,,,,,,
2.74,1.57E-07,0,3.23E-07,3100294.528,,,,,,,,,,,
2.76,1.62E-07,0,2.74E-07,3644646.925,,,,,,,,,,,
2.78,1.68E-07,0,2.76E-07,3625158.601,,,,,,,,,,,
2.8,1.73E-07,0,2.60E-07,3846153.846,,,,,,,,,,,
2.82,1.78E-07,0,3.16E-07,3169572.108,,,,,,,,,,,
2.84,1.86E-07,0,3.02E-07,3307698.669,,,,,,,,,,,
2.86,1.90E-07,0,2.53E-07,3946719.29,,,,,,,,,,,
2.88,1.96E-07,0,3.37E-07,2967799.377,,,,,,,,,,,
2.9,2.04E-07,0,3.96E-07,2526368.976,,,,,,,,,,,
2.92,2.12E-07,0,4.48E-07,2230151.65,,,,,,,,,,,
2.94,2.22E-07,0,3.18E-07,3148862.473,,,,,,,,,,,
2.96,2.24E-07,0,2.72E-07,3682902.127,,,,,,,,,,,
2.98,2.32E-07,0,4.53E-07,2207261.892,,,,,,,,,,,
3,2.42E-07,0,4.96E-07,2015519.5,,,,,,,,,,,
-3,-0.000232594,-25,0.0003655,2735.978112,,,,,,,,,,,
-2.98,-0.000230573,-25,0.0003585,2789.400279,,,,,,,,,,,
-2.96,-0.000228481,-25,0.00035305,2832.459992,,,,,,,,,,,
-2.94,-0.000226335,-25,0.00035375,2826.855124,,,,,,,,,,,
-2.92,-0.000224191,-25,0.000351675,2843.534513,,,,,,,,,,,
-2.9,-0.000222056,-25,0.000353325,2830.255431,,,,,,,,,,,
-2.88,-0.000219892,-25,0.000354125,2823.861631,,,,,,,,,,,
-2.86,-0.000217755,-25,0.000353775,2826.65536,,,,,,,,,,,
-2.84,-0.000215577,-25,0.000354875,2817.893625,,,,,,,,,,,
-2.82,-0.000213417,-25,0.00035255,2836.477095,,,,,,,,,,,
-2.8,-0.000211272,-25,0.00035215,2839.698992,,,,,,,,,,,
-2.78,-0.000209109,-25,0.000352825,2834.266279,,,,,,,,,,,
-2.76,-0.000206944,-25,0.00035105,2848.597066,,,,,,,,,,,
-2.74,-0.00020481,-25,0.000351275,2846.772472,,,,,,,,,,,
-2.72,-0.000202653,-25,0.000351875,2841.918295,,,,,,,,,,,
-2.7,-0.000200504,-25,0.000349325,2862.663709,,,,,,,,,,,
-2.68,-0.00019836,-25,0.000349425,2861.844459,,,,,,,,,,,
-2.66,-0.000196207,-25,0.000349675,2859.798384,,,,,,,,,,,
-2.64,-0.000194062,-25,0.0003474,2878.526195,,,,,,,,,,,
-2.62,-0.000191931,-25,0.000347575,2877.07689,,,,,,,,,,,
-2.6,-0.000189784,-25,0.0003476,2876.869965,,,,,,,,,,,
-2.58,-0.000187634,-25,0.000345475,2894.565453,,,,,,,,,,,
-2.56,-0.000185505,-25,0.000345,2898.550725,,,,,,,,,,,
-2.54,-0.00018337,-25,0.000345625,2893.309222,,,,,,,,,,,
-2.52,-0.000181236,-25,0.00034235,2920.987294,,,,,,,,,,,
-2.5,-0.000179122,-25,0.000341175,2931.047117,,,,,,,,,,,
-2.48,-0.000176996,-25,0.000342875,2916.514765,,,,,,,,,,,
-2.46,-0.000174873,-25,0.00034,2941.176471,,,,,,,,,,,
-2.44,-0.000172768,-25,0.000338075,2957.923538,,,,,,,,,,,
-2.42,-0.000170657,-25,0.00033885,2951.15833,,,,,,,,,,,
-2.4,-0.000168542,-25,0.000336725,2969.782463,,,,,,,,,,,
-2.38,-0.000166449,-25,0.000335525,2980.403845,,,,,,,,,,,
-2.36,-0.000164339,-25,0.000335775,2978.184796,,,,,,,,,,,
-2.34,-0.000162238,-25,0.000333875,2995.132909,,,,,,,,,,,
-2.32,-0.000160156,-25,0.0003321,3011.141223,,,,,,,,,,,
-2.3,-0.000158062,-25,0.000331175,3019.551597,,,,,,,,,,,
-2.28,-0.000155972,-25,0.000331075,3020.463641,,,,,,,,,,,
-2.26,-0.000153884,-25,0.000331025,3020.91987,,,,,,,,,,,
-2.24,-0.0001518,-25,0.0003277,3051.571559,,,,,,,,,,,
-2.22,-0.000149738,-25,0.000325825,3069.132203,,,,,,,,,,,
-2.2,-0.000147661,-25,0.00032595,3067.955208,,,,,,,,,,,
-2.18,-0.000145593,-25,0.0003248,3078.817734,,,,,,,,,,,
-2.16,-0.000143519,-25,0.000322475,3101.015583,,,,,,,,,,,
-2.14,-0.000141477,-25,0.000319975,3125.24416,,,,,,,,,,,
-2.12,-0.000139419,-25,0.00031955,3129.40072,,,,,,,,,,,
-2.1,-0.000137363,-25,0.00031915,3133.322889,,,,,,,,,,,
-2.08,-0.000135311,-25,0.000317525,3149.358318,,,,,,,,,,,
-2.06,-0.000133267,-25,0.000314625,3178.386969,,,,,,,,,,,
-2.04,-0.000131246,-25,0.00031365,3188.267177,,,,,,,,,,,
